instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-406,7,1278,yes,22368,0,0,438,298,3800,0,0,980,0,1278,0,69.5329,637096125
i-263,5,152,yes,52904,0,0,9395,0,4305,0,152,0,0,152,0,200.572,3220586204
i-414,2,1447,yes,20871,592,100,3050,555,15456,0,200,0,0,1447,0,60.1323,1161846550
i-272,9,504,yes,16452,0,0,821,0,18850,0,144,360,0,504,0,120.091,2443911944
i-054,5,3521,yes,55216,1540,468,6260,1113,5550,0,120,280,0,3521,0,143.233,3280000143
i-250,8,14,yes,29994,0,0,4215,0,10339,0,14,0,0,14,0,135.957,3462389088
i-414,3,588,yes,20295,192,36,3180,170,14616,0,190,0,0,588,0,61.6171,2923881417
i-126,6,8312,yes,30726,471,50,3536,4368,5687,0,1343,2080,0,8312,0,138.708,3276892191
i-414,4,1459,yes,20916,672,112,3415,465,12656,0,210,0,0,1459,0,60.8265,2868819588
i-126,0,7460,yes,30366,291,40,2272,3580,3196,0,1309,2240,0,7460,0,135.127,2701197866
i-263,6,140,yes,49616,0,0,9040,0,5370,0,140,0,0,140,0,200.775,481921035
i-414,5,1673,yes,20610,768,180,3010,575,11760,0,150,0,0,1673,0,60.8172,3320513823
i-185,1,1080,yes,20108,0,0,12108,0,17020,0,1080,0,0,1080,0,295.328,214917444
i-054,6,2424,yes,54832,485,228,5710,1463,6000,0,108,140,0,2424,0,143.872,1635348038
i-250,9,14,yes,31662,0,0,3310,0,11858,0,14,0,0,14,0,142.244,1703399654
i-126,7,8452,yes,32148,573,43,1696,4464,3713,0,1292,2080,0,8452,0,136.8,3290195321
i-185,7,1098,yes,20332,0,0,11400,0,16391,0,1098,0,0,1098,0,285.14,2006018989
i-316,0,2942,yes,2502,1512,414,954,912,7956,0,104,0,0,2942,0,35.1258,3683856720
i-414,6,921,yes,21447,352,64,3310,315,14448,0,190,0,0,921,0,62.336,3748773897
i-316,1,2384,yes,2883,1172,357,346,738,7276,0,117,0,0,2384,0,33.1929,867652440
i-126,1,8613,yes,32790,291,40,1496,4464,2867,0,1258,2560,0,8613,0,132.171,2665488101
i-316,2,1349,yes,2553,716,162,576,354,7497,0,117,0,0,1349,0,33.8058,3468039993
i-414,7,1044,yes,20628,384,100,2770,350,11816,0,210,0,0,1044,0,61.5144,3236104577
i-316,8,1456,yes,2745,812,198,698,342,7446,0,104,0,0,1456,0,34.1265,355650109
i-054,7,2892,yes,54696,1070,248,5790,1022,7125,0,132,420,0,2892,0,137.884,2069568353
i-316,3,2955,yes,2667,1420,447,490,984,7990,0,104,0,0,2955,0,33.7322,868564590
i-126,8,8026,yes,31056,390,40,2496,4200,3243,0,1156,2240,0,8026,0,137.307,433844150
i-316,9,286,yes,2502,108,48,496,0,7480,0,130,0,0,286,0,33.2769,1049868803
i-316,4,1381,yes,2625,648,267,854,336,7463,0,130,0,0,1381,0,33.455,1874051649
i-414,8,1508,yes,20133,680,168,2750,510,17136,0,150,0,0,1508,0,60.4766,3031040742
i-263,7,156,yes,53728,0,0,8380,0,5805,0,156,0,0,156,0,194.606,302158748
i-316,5,543,yes,2538,212,93,620,108,7480,0,130,0,0,543,0,32.6875,1091881974
i-414,9,2153,yes,22014,1120,228,3020,635,9912,0,170,0,0,2153,0,61.0809,1837258808
i-316,6,1278,yes,2640,612,252,102,336,8024,0,78,0,0,1278,0,32.9594,2312560115
i-316,7,507,yes,2448,308,69,490,0,7565,0,130,0,0,507,0,33.148,364139126
i-054,8,1340,yes,52952,475,280,6340,329,8400,0,116,140,0,1340,0,141.424,1236080097
i-126,9,8593,yes,31548,861,112,2344,4088,3431,0,1292,2240,0,8593,0,139.092,803629617
i-185,2,1080,yes,20464,0,0,11634,0,16687,0,1080,0,0,1080,0,292.846,3899637029
i-247,2,557,yes,612,0,0,102,137,19894,0,0,360,60,557,0,24.6465,3111921284
i-185,8,1134,yes,20092,0,0,10566,0,17242,0,1134,0,0,1134,0,296.118,973335707
i-247,3,557,yes,612,0,0,102,137,19894,0,0,360,60,557,0,24.2931,3240339246
i-247,4,557,yes,612,0,0,102,137,19894,0,0,360,60,557,0,24.5466,3615214967
i-247,5,557,yes,612,0,0,102,137,19894,0,0,360,60,557,0,24.3817,2400561212
i-164,4,56,yes,56979,0,0,4806,0,12710,0,56,0,0,56,0,142.785,238320026
i-247,6,557,yes,622,0,0,138,137,19894,0,0,360,60,557,0,23.9825,1712284547
i-054,9,2413,yes,54280,455,280,5110,1274,7275,0,124,280,0,2413,0,138.829,652092848
i-247,7,557,yes,622,0,0,138,137,19894,0,0,360,60,557,0,24.4673,3856599447
i-416,0,148,yes,80171,0,0,1449,0,304,0,148,0,0,148,0,271.013,3784077115
i-247,8,557,yes,612,0,0,102,137,19894,0,0,360,60,557,0,24.4911,1125288682
i-416,6,192,yes,78708,0,0,3762,0,372,0,192,0,0,192,0,271.472,319082783
i-247,9,557,yes,622,0,0,138,137,19894,0,0,360,60,557,0,24.2094,1243887099
i-414,0,2249,yes,21429,1120,244,2975,685,11928,0,200,0,0,2249,0,60.8946,2923796498
i-175,0,396,yes,9246,0,0,46910,0,39783,0,396,0,0,396,0,227.456,3239282266
i-164,5,56,yes,55458,0,0,3384,0,13612,0,56,0,0,56,0,143.919,4213075495
i-414,1,1129,yes,20178,440,104,2070,425,13160,0,160,0,0,1129,0,60.5052,2361242711
i-116,6,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.54667,736760870
i-116,7,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.62171,1023706784
i-116,8,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.54195,3217107697
i-116,9,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.61585,3971130530
i-185,3,1116,yes,20180,0,0,13632,0,19610,0,1116,0,0,1116,0,291.038,1228555062
i-185,9,1044,yes,19952,0,0,10374,0,16872,0,1044,0,0,1044,0,305.25,3925912048
i-164,6,42,yes,58725,0,0,3786,0,14514,0,42,0,0,42,0,143.518,1792650434
i-416,1,176,yes,78106,0,0,3384,0,422,0,176,0,0,176,0,267.247,1771668977
i-175,8,378,yes,9292,0,0,47190,0,41563,0,378,0,0,378,0,230.787,2006746715
i-416,7,172,yes,77917,0,0,3852,0,316,0,172,0,0,172,0,277.247,2789502115
i-175,1,378,yes,9222,0,0,47020,0,41029,0,378,0,0,378,0,224.405,1974922875
i-360,0,720,yes,54512,0,0,7490,0,3480,0,520,200,0,720,0,175.828,1807281662
i-054,0,1054,yes,54072,290,228,4310,280,7725,0,116,140,0,1054,0,143.399,592105033
i-164,7,42,yes,57078,0,0,3402,0,11480,0,42,0,0,42,0,143.342,2434251235
i-185,4,1116,yes,19848,0,0,12021,0,19314,0,1116,0,0,1116,0,308.654,2589150608
i-054,1,1214,yes,52312,350,280,7560,196,6675,0,108,280,0,1214,0,143.809,3468165995
i-175,9,414,yes,9228,0,0,44460,0,45390,0,414,0,0,414,0,224.27,1178315118
i-360,1,710,yes,54032,0,0,5915,0,5140,0,510,200,0,710,0,180.907,473619875
i-116,0,1869,yes,370,664,405,7,0,17424,0,0,800,0,1869,0,8.84061,926994743
