instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-360,7,36066,yes,28296,55824,2836,370,11790,7400,0,1020,7800,150,36066,0,61.9339,3280700236
i-360,8,36872,yes,29072,48492,2304,400,10968,7400,0,1060,7400,200,36872,0,61.6098,2277748081
i-175,3,37597,yes,3866,458352,622,0,5360,33731,0,2250,0,120,37597,0,153.639,935522890
i-360,9,37488,yes,27768,84276,3200,440,24150,9280,0,1110,7600,350,37488,0,62.7713,1973121665
i-167,0,11337,yes,8547,23352,2085,0,35,2790,0,414,1320,0,11337,0,25.733,1002177142
i-167,1,11328,yes,8538,32760,1980,0,0,2790,0,369,1320,0,11328,0,25.7255,2900147591
i-175,4,31911,yes,4578,269055,459,10,1492,27323,0,2322,0,0,31911,0,156.54,2343769422
i-175,5,32259,yes,4738,230112,372,20,1282,27501,0,2340,0,0,32259,0,153.255,3425006634
i-175,6,32335,yes,4122,263736,367,0,1228,28213,0,2286,0,60,32335,0,155.167,4273449614
i-175,7,32296,yes,4518,286893,543,10,1980,27768,0,2322,0,0,32296,0,150.877,351810046
