instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-054,3,565,yes,65784,285,228,13810,16107,24150,0,52,0,0,565,0,144.863,1717375730
i-167,3,846,yes,9549,0,0,1854,3108,13950,0,126,720,0,846,0,54.4284,2836975239
i-360,3,670,yes,55256,0,0,6970,360,3560,0,470,200,0,670,0,167.549,2504793938
i-416,9,120,yes,84644,0,0,2808,2992,432,0,120,0,0,120,0,218.304,2737893275
i-360,5,530,yes,54320,0,0,5205,294,3220,0,530,0,0,530,0,161.94,151251881
i-167,4,873,yes,9837,0,0,2727,3178,8091,0,153,720,0,873,0,32.8711,4078855085
i-416,3,92,yes,82677,0,0,4014,2296,420,0,92,0,0,92,0,264.281,3192874237
i-167,5,780,yes,9957,0,0,2718,3885,8928,0,180,600,0,780,0,32.6999,3276296101
i-164,0,56,yes,56700,0,0,4074,320,16400,0,56,0,0,56,0,72.4302,3166725383
i-167,6,882,yes,9180,0,0,3249,3297,11904,0,162,720,0,882,0,32.6944,3787456629
i-360,6,630,yes,55272,0,0,6615,426,4020,0,430,200,0,630,0,92.3439,714725131
i-175,4,396,yes,9122,0,0,52740,140,45212,0,396,0,0,396,0,180.087,4277848393
i-167,7,873,yes,9318,0,0,2394,3241,13950,0,153,720,0,873,0,32.8461,1996994441
i-164,1,42,yes,59364,0,0,4584,1360,17302,0,42,0,0,42,0,71.8794,2856629791
i-167,8,864,yes,9624,0,0,1431,3472,13950,0,144,720,0,864,0,32.6248,2904644625
i-167,9,882,yes,9843,0,0,2583,3017,7626,0,162,720,0,882,0,32.3534,2580408561
i-360,7,480,yes,53976,0,0,6400,36,4740,0,480,0,0,480,0,90.2067,2694885512
i-164,2,56,yes,57321,0,0,3828,1168,21976,0,56,0,0,56,0,71.7611,918872846
i-416,4,116,yes,82621,0,0,5202,3248,632,0,116,0,0,116,0,216.115,2508161451
i-175,5,414,yes,9310,0,0,53350,138,38448,0,414,0,60,414,0,149.638,1385326240
i-360,8,680,yes,54232,0,0,6805,288,4660,0,480,200,0,680,0,89.6324,942877335
i-164,3,56,yes,58482,0,0,5418,1096,15908,0,56,0,0,56,0,73.3267,2009415277
i-175,6,414,yes,9278,0,0,49170,0,39694,0,414,0,0,414,0,110.254,3395509016
i-360,9,690,yes,54952,0,0,5845,426,3100,0,490,200,0,690,0,90.3807,1072460436
i-416,5,116,yes,84700,0,0,2808,2712,452,0,116,0,0,116,0,136.41,435545050
i-167,0,771,yes,9576,0,0,2151,3290,11439,0,171,600,0,771,0,32.013,4213881787
i-167,1,771,yes,9420,0,0,1305,2674,13020,0,171,600,0,771,0,31.9088,1666547342
i-175,7,414,yes,9062,0,0,37920,54,42631,0,414,0,0,414,0,107.191,2530606062
