instance,repetition,cost,consistent,travel_time,total_tardiness,highest_tardiness,total_waiting_time,total_extra_time,max_idle_time,workload_balance,preferences,unscheduled,missed_lunch_break,objective,violations,time,seed
i-164,6,3138,yes,67932,65,39,1458,768,3034,0,280,0,0,3138,0,119.049,3697907573
i-416,1,52,yes,94864,0,0,1062,1936,52,0,1084,0,0,52,0,230.53,3029401145
i-175,0,23585,yes,10066,0,0,49290,0,23585,0,2358,0,0,23585,0,315.763,4191045726
i-416,7,62,yes,92645,0,0,1755,1464,62,0,1064,0,0,62,0,233.275,1245933750
i-185,9,7289,yes,22460,0,0,11577,27,7289,0,5796,0,0,7289,0,254.179,4265773577
i-175,8,23585,yes,10000,0,0,48610,0,23585,0,2358,0,0,23585,0,317.149,374471778
i-360,0,1340,yes,68680,0,0,4260,90,1340,0,1200,3000,0,1340,0,143.241,3312828772
i-164,7,4100,yes,65772,0,0,2034,656,4100,0,322,0,0,4100,0,123.489,2396701306
i-185,3,7289,yes,22956,0,0,11826,24,7289,0,5346,300,0,7289,0,253.312,3408357940
i-054,0,2983,yes,75760,1315,468,2160,11592,1200,0,172,1820,0,2983,0,110.327,3865975160
i-360,1,1420,yes,67648,0,0,4150,24,1420,0,1190,3400,0,1420,0,138.321,3559034084
i-416,2,52,yes,94416,0,0,1737,1924,52,0,1060,0,0,52,0,227.881,2153748346
i-164,8,3362,yes,66366,0,0,2118,1136,3362,0,322,0,0,3362,0,122.695,3780776340
i-416,8,60,yes,95522,0,0,1530,2916,60,0,1096,0,0,60,0,234.235,2182722678
i-054,1,2715,yes,72160,860,280,3320,9597,1575,0,184,2100,0,2715,0,112.221,734358155
i-175,1,23427,yes,10164,18,2,50010,0,23407,0,2322,0,0,23427,0,323.341,4067613397
i-360,2,1340,yes,67848,0,0,4865,318,1340,0,1210,2400,0,1340,0,142.283,2238162314
i-164,9,3470,yes,66636,20,6,1626,416,3444,0,308,0,0,3470,0,119.058,1284388329
i-247,0,19894,yes,577,0,0,1026,247,19894,0,0,1440,60,19894,0,7.40835,1757511631
i-247,1,19894,yes,589,0,0,942,1,19894,0,0,1800,60,19894,0,7.52487,4288917749
i-054,2,3178,yes,72536,1060,468,2710,9436,1650,0,168,1960,0,3178,0,111.424,2214415015
i-185,4,7252,yes,22684,0,0,13164,15,7252,0,5688,200,0,7252,0,254.545,2881900017
i-175,9,23674,yes,9926,0,0,50440,8,23674,0,2340,0,0,23674,0,324.258,2666345924
i-116,0,18519,yes,365,3232,815,0,0,14472,0,0,600,0,18519,0,13.8401,1652288160
i-116,1,18519,yes,365,3232,815,0,0,14472,0,0,600,0,18519,0,13.7048,1907453070
i-116,2,16637,yes,391,1488,605,0,0,14544,0,0,600,0,16637,0,11.4471,890818559
i-116,3,18519,yes,365,3232,815,0,0,14472,0,0,600,0,18519,0,13.9297,3932927829
i-416,3,56,yes,94850,0,0,1359,2160,56,0,1096,0,0,56,0,225.083,3188895696
i-116,4,18519,yes,365,3232,815,0,0,14472,0,0,600,0,18519,0,13.7964,952189283
i-116,5,18301,yes,366,3152,605,0,0,14544,0,0,600,0,18301,0,14.2687,2117914426
i-416,9,60,yes,93639,0,0,1422,1992,60,0,1072,0,0,60,0,225.095,2016482791
i-360,3,1420,yes,68624,0,0,4310,138,1420,0,1180,3000,0,1420,0,140.272,810361544
i-054,3,1853,yes,74928,575,228,1990,10962,1050,0,180,1960,0,1853,0,114.721,1845299127
i-167,2,3534,yes,11352,0,0,702,588,3534,0,252,4920,0,3534,0,40.0721,1718840804
i-360,4,1186,yes,69024,2,4,3780,132,1180,0,1250,2600,0,1186,0,142.931,1232999925
i-167,3,2976,yes,11676,0,0,693,980,2976,0,360,4320,0,2976,0,41.1944,1978099824
i-164,0,2890,yes,68994,170,96,1392,1304,2624,0,322,0,0,2890,0,69.647,1194892234
i-175,2,23585,yes,10242,0,0,43390,0,23585,0,2376,0,0,23585,0,247.612,3903403092
i-167,4,2976,yes,11433,0,0,1134,1225,2976,0,378,4920,0,2976,0,40.1835,2139359510
i-185,5,7363,yes,22520,0,0,11937,3,7363,0,5634,0,0,7363,0,220.841,2533183585
i-167,5,2790,yes,11136,0,0,963,910,2790,0,315,4440,0,2790,0,29.1796,3308362107
i-164,1,4100,yes,66681,0,0,2334,1288,4100,0,280,0,0,4100,0,62.3912,1017044889
i-167,6,1092,yes,11976,200,55,189,826,837,0,306,4680,0,1092,0,22.5213,551852650
i-360,5,1340,yes,66040,0,0,4025,204,1340,0,1270,2600,0,1340,0,140.3,1288784068
i-416,4,54,yes,95053,0,0,1233,2388,54,0,1084,0,0,54,0,210.882,2721427371
i-167,7,1399,yes,11538,72,25,333,693,1302,0,369,3480,0,1399,0,23.5203,1148095857
i-164,2,3034,yes,67761,0,0,1710,592,3034,0,308,0,0,3034,0,61.5933,1847494375
i-167,8,1647,yes,11721,368,70,207,707,1209,0,342,4080,0,1647,0,22.8298,2217192120
i-167,9,1780,yes,11550,8,5,369,434,1767,0,306,4200,0,1780,0,23.1597,2556105797
i-164,3,3665,yes,67248,170,51,2334,1112,3444,0,308,0,0,3665,0,61.4401,3359641772
i-360,6,1180,yes,69688,0,0,3755,462,1180,0,1240,2400,0,1180,0,103.255,2605549040
i-416,5,58,yes,94913,0,0,1152,2256,58,0,1116,0,0,58,0,115.133,1871615513
i-175,3,23496,yes,10162,0,0,48650,8,23496,0,2394,0,0,23496,0,196.765,827347700
i-360,7,1360,yes,68056,0,0,4340,222,1360,0,1230,3000,0,1360,0,75.0199,3952042387
i-360,8,1320,yes,67928,0,0,3665,54,1320,0,1200,3000,0,1320,0,74.291,705893502
i-175,4,23585,yes,10192,0,0,46990,52,23585,0,2322,0,0,23585,0,161.172,14455141
i-360,9,1180,yes,69520,0,0,3870,174,1180,0,1180,2800,0,1180,0,73.0324,3362258260
i-167,0,1749,yes,11880,352,95,459,861,1302,0,387,3840,0,1749,0,22.8747,1983743657
i-167,1,1859,yes,11559,304,160,594,861,1395,0,369,3240,0,1859,0,23.038,2995364170
i-175,5,23585,yes,10090,0,0,50470,14,23585,0,2376,0,0,23585,0,157.213,1721769508
i-175,6,23585,yes,10240,0,0,43590,0,23585,0,2394,0,0,23585,0,157.03,4272427814
i-175,7,23674,yes,10022,0,0,43600,8,23674,0,2376,0,0,23674,0,154.307,1413568896
